Deck,Question,OptionA,OptionB,OptionC,OptionD,Correct
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,In the context of JPMC's Fortress Balance Sheet philosophy; how does this financial concept translate into a specific Non-Functional Requirement (NFR) for payment system architecture?,Systems must be designed with Fail-Fast logic to immediately reject any transaction that cannot be processed within 50ms to preserve liquidity.,Systems must prioritize Operational Resilience over cost efficiency; mandating active-active multi-region redundancy to survive a complete data center loss without data inconsistency.,Systems must strictly utilize Two-Phase Commit (2PC) protocols across all microservices to ensure that the financial ledger never deviates from ACID properties; regardless of latency cost.,Systems must be built on Serverless architecture to ensure that capital expenditure scales linearly with transaction volume; protecting the bank’s operating margin.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,JP Morgan has rebranded its blockchain unit to Kinexys. What is the primary strategic distinction between the JPM Coin (JPMD) token and a standard market stablecoin (like USDC)?,JPMD operates on a public permissionless ledger for retail use; whereas stablecoins are restricted to private institutional networks.,JPMD is a Tokenized Deposit representing a direct liability of the bank; whereas stablecoins are asset-backed instruments carrying counterparty risk of the issuer.,JPMD uses a Proof-of-Work consensus mechanism to ensure higher security than the Proof-of-Stake mechanism used by stablecoins.,JPMD is designed solely for internal book transfers between JPMC branches; whereas stablecoins are used for cross-border client payments.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,You are designing a new microservice for Regulatory Reporting that processes Material Non-Public Information (MNPI). According to JPMC’s hybrid cloud strategy; where should this service primarily be deployed?,Public Cloud (AWS) using Confidential Computing instances to encrypt memory; as this offers the highest elasticity for batch reporting.,Gaia (Private Cloud); as JPMC policy typically mandates that high-sensitivity MNPI data and core ledgers remain within the firm's firewall for sovereignty and security.,A multi-cloud mesh (Azure and AWS) to ensure that if one cloud provider is subpoenaed; the data remains fragmented and inaccessible.,The Paved Road AWS environment; provided the S3 buckets are configured with immutable object locking and strict IAM roles.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,JPMC is aggressively adopting Agentic AI for 2025. How does an AI Agent functionally differ from the LLM Suite (GenAI) tools currently available to employees?,LLM Suite generates text/code based on prompts; whereas an AI Agent can autonomously plan; execute multi-step workflows (e.g. query DB; draft SAR; email outcomes); and use tools.,LLM Suite is hosted on the public internet; whereas AI Agents are hosted strictly on Gaia Private Cloud.,LLM Suite is used for back-office operations; whereas AI Agents are customer-facing chatbots used in the Chase mobile app.,LLM Suite uses probabilistic models; whereas AI Agents use deterministic If-This-Then-That logic exclusively.,A
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,Regarding ISO 20022 and the 2025/2026 roadmap; what is the specific operational risk associated with Data Truncation that a Solutions Analyst must mitigate?,The risk that sending an ISO 20022 message to a legacy MT-based system will result in the XML header being rejected by the SWIFT network.,The risk that rich data (e.g. Ultimate Debtor) in an incoming MX message is dropped when passed through an internal legacy system; leading to sanctions screening failures downstream.,The risk that the XML message size exceeds the 10kb limit of legacy mainframes; causing the payment to crash the settlement engine.,The risk that the UETR (Unique End-to-End Transaction Reference) is regenerated by the legacy system; breaking the audit trail.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,What is the Paved Road concept in JPMC’s software delivery lifecycle?,A dedicated high-speed network connection between London and New York data centers for high-frequency trading.,A pre-approved; standardized set of CI/CD pipelines and infrastructure patterns that automatically inherit security controls; allowing developers to deploy without manual board review.,The career progression path for non-technical analysts to move into engineering roles within the bank.,The migration path for legacy COBOL mainframe applications to be rewritten in Java on the cloud.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,In the context of JPMC’s payment innovation; what problem does Programmable Payments on the Kinexys platform solve for corporate treasurers?,It allows treasurers to mine crypto assets using idle corporate cash balances overnight.,It enables Atomic Settlement where a payment is conditioned on external data (e.g. goods delivery); collapsing reconciliation and payment into a single instantaneous step.,It allows treasurers to bypass KYC checks for recurring vendors by embedding their identity hash into the payment token.,It replaces the need for SWIFT gpi by routing all payments via the public Ethereum mainnet to save on transaction fees.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,Why does JPMC favor the Saga Pattern over Two-Phase Commit (2PC) for its distributed payment microservices?,Saga guarantees strict ACID consistency; which is legally required for all financial ledgers; whereas 2PC allows for data loss.,2PC locks database resources across services; causing latency bottlenecks that are unacceptable at JPMC's scale ($10T/day); whereas Saga allows for high availability with eventual consistency.,Saga is a legacy pattern that integrates better with the bank's older mainframe systems compared to the modern 2PC.,2PC requires all services to be written in the same programming language (Java); whereas Saga supports polyglot architecture.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,What is the significance of the Unified Ledger concept in JPMC's 2025 vision?,It proposes a single global SQL database to store all of JPMC's customer data to simplify GDPR compliance.,It is a vision where tokenized commercial bank money (deposits) and tokenized assets (bonds/equities) live on the same programmable platform to enable instant delivery-vs-payment.,It is the merger of the Retail (Chase) and Investment Bank (CIB) ledgers into one accounting system to reduce operational overhead.,It refers to the migration of all SWIFT traffic onto a unified ISO 20022 message bus.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,How does the Singleness of Money principle constrain JPMC’s blockchain strategy?,It dictates that JPMC can only issue tokens in USD; preventing the issuance of Euro or Yen tokens.,It requires that a tokenized dollar (JPM Coin) must always be exchangeable at par ($1:$1) with commercial bank money; ruling out the use of floating-value crypto assets for settlement.,It mandates that there must be only one single blockchain node validating all transactions to prevent double-spending.,It implies that JPMC must eventually replace all fiat currency with Central Bank Digital Currencies (CBDC).,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,You are analyzing a requirement for Inbound Transaction Monitoring (ITM). Why has this become a priority for UK Payment architectures in 2025?,Because the Bank of England now charges a fee for every inbound payment that is not screened.,Because new PSR rules mandate 50/50 liability split for APP Fraud; forcing banks to detect if their own customer is a mule receiving stolen funds.,Because ISO 20022 does not support outbound monitoring; shifting the burden to the receiving bank.,Because GDPR prevents banks from monitoring outbound payments due to data privacy concerns.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,What is the primary function of the LLM Suite within the JPMC technology ecosystem?,A customer-facing chatbot that replaces human support agents for mortgage applications.,An internal; secured gateway to models like GPT-4; ensuring that proprietary bank data is not trained on or leaked to public model providers.,A suite of open-source Low-Level Machine code compilers used to optimize the Gaia private cloud.,A regulatory reporting tool that automatically generates SARs without human intervention.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,When designing a system on Gaia (Private Cloud); what is the Blast Radius design principle?,Designing services so that a failure in one component (e.g. a payment gateway) does not cascade and take down the entire platform.,Ensuring that marketing campaigns reach the maximum number of customers possible using AI analytics.,The physical distance required between the primary data center and the disaster recovery site to survive a nuclear event.,The maximum amount of data that can be lost in a database before the regulator must be notified.,A
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,What is the Weekend Trap that Kinexys (JPM Coin) specifically solves for institutional clients?,The inability of traders to access the JPMC office on weekends due to security protocols.,The risk that crypto markets crash over the weekend when banks are closed.,The friction where liquidity is trapped in traditional settlement systems (like Fedwire/Target2) that close on weekends; preventing capital movement until Monday.,The regulatory requirement to report all weekend transactions by Monday 9:00 AM.,C
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,Why is Data Sovereignty a critical constraint for a Lead Solutions Analyst covering the EMEA region?,It requires that all European payment data be stored on servers physically located within the EU; preventing the use of US-only cloud regions for certain datasets.,It means that the data belongs to the Queen/Crown and cannot be owned by a private bank.,It mandates that all data must be open-source and accessible to the public under GDPR.,It requires that data processing power must be equally distributed across all EU member states.,A
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,In the context of Agentic AI; what does Human-in-the-Loop (HITL) governance entail for Financial Crime?,Humans must manually type every SAR report; with AI only allowed to check spelling.,AI Agents can draft investigations and recommend outcomes; but a human investigator must explicitly review and sign off before a SAR is filed with the NCA.,AI Agents are strictly forbidden from accessing production data; humans must feed them data via CSV files.,Humans must monitor the electricity consumption of the AI data centers to ensure sustainability.,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,Which ISO 20022 message type would you analyze to identify the Ultimate Debtor in a complex payment chain?,pacs.002 (Status Report),pacs.008 (Customer Credit Transfer),camt.053 (Bank Statement),pain.002 (Customer Status Report),B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,Regarding resilience; what does Active-Active architecture imply for a Payments Engine?,The system runs in one region; but the support team is active 24/7 to fix bugs.,Two separate instances of the application run simultaneously in different regions/zones; both handling live traffic; ensuring zero downtime if one fails.,The system actively processes payments while actively archiving old data to tape storage.,The primary database accepts writes; while the secondary database is read-only (Active-Passive).,B
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,Why is JP Morgan extending JPM Coin to public blockchains (like Base)?,To speculate on the price of Ethereum tokens.,To allow retail customers to buy JPM Coin on Coinbase.,To enable Interoperability—allowing institutional clients to settle transactions/collateral on the networks where they are already trading (DeFi); without leaving the regulated banking perimeter.,To avoid the high maintenance costs of running their own private Kinexys nodes.,C
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,What is the role of Idempotency Keys in JPMC's payment APIs?,They encrypt the payment payload to ensure GDPR compliance.,They serve as a login password for the API Gateway.,They allow the client to safely retry a request (e.g. in case of a timeout) without the risk of the bank processing the same payment twice (Double Spend).,They represent the unique ISO 20022 currency code for the transaction.,C
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,"Which JPMorgan Chase business line is primarily focused on investment advisory and underwriting services?","Investment Banking","Wealth Management","Commercial Banking","Community Banking","Investment Banking"
Day 1 Exam: The JPMC Ecosystem & Technical Strategy,"In what year was JPMorgan Chase established in its current form?","1799","1871","2000","2004","2000"
"Day - 1 JPM Interview Prep","JPMorgan Chase operates in approximately how many countries?","Around 50 countries","Around 80 countries","Around 100+ countries","Around 150+ countries","Around 100+ countries"
"Day - 1 JPM Interview Prep","Which of the following best describes JPMorgan Chase's primary focus?","Retail consumer banking only","Global universal banking and diversified financial services","Technology consulting services","Investment management only","Global universal banking and diversified financial services"
"Day - 1 JPM Interview Prep","JPMorgan Chase's investment in blockchain technology is primarily aimed at:","Replacing traditional banking","Cryptocurrency trading only","Settlement, payments, and creating digital assets","Social media engagement","Settlement, payments, and creating digital assets"
"Day - 1 JPM Interview Prep","What is JPMorgan Chase's commitment regarding diversity and inclusion?","Hiring from limited backgrounds","Building diverse teams, fostering inclusive culture, supporting underrepresented communities","Focusing only on gender diversity","No formal D&I commitment","Building diverse teams, fostering inclusive culture, supporting underrepresented communities"
"Day - 1 JPM Interview Prep","Which regulatory body oversees JPMorgan Chase's primary banking operations?","SEC only","FDIC and Federal Reserve","FINRA only","International Monetary Fund","FDIC and Federal Reserve"
"Day - 1 JPM Interview Prep","JPMorgan Chase's technology strategy focuses on:","Avoiding cloud migration","Traditional banking only","AI, machine learning, cloud computing, cybersecurity","Reducing technology investments","AI, machine learning, cloud computing, cybersecurity"
"Day - 1 JPM Interview Prep","What is JPMorgan Chase's Governance structure primarily designed to ensure?","Quarterly profit maximization only","Ethical conduct, regulatory compliance, and stakeholder accountability","Minimal employee involvement","Short-term stock price increases","Ethical conduct, regulatory compliance, and stakeholder accountability"
"Day - 1 JPM Interview Prep","JPMorgan Chase's approach to Environmental, Social, and Governance (ESG) includes:","Only environmental concerns","Climate finance, community development, diversity, and ethical governance","No ESG focus","Solely shareholder returns","Climate finance, community development, diversity, and ethical governance"
Day 1: JPMC Strategy & Tech,"You are designing a solution for a Saudi Arabian client requiring strict Data Sovereignty. Why would you deploy the core ledger node on Gaia (Private Cloud) rather than an AWS Region in the Middle East?","Gaia nodes can be deployed on on-premise infrastructure physically located within the specific jurisdiction to meet 'In-Country' data residency laws.",AWS does not support ISO 20022 message formats required by SAMA.,"Gaia offers cheaper storage costs than AWS S3 Infrequent Access, reducing the TCO for the client.","AWS encryption keys are managed by the US government, creating a conflict of interest.",OptionA
Day 1: JPMC Strategy & Tech,"J.P. Morgan rebranded 'Onyx' to 'Kinexys' to emphasize a shift in strategy. What is the core technical differentiator of JPM Coin (JPMD) compared to a market stablecoin like USDC?","JPM Coin represents a 'Tokenized Deposit' (a direct liability of the bank), maintaining the Singleness of Money without counterparty risk to a third-party reserve.","JPM Coin uses a Proof-of-Work consensus mechanism similar to Bitcoin for higher security.","JPM Coin is a decentralized asset that can be traded on public exchanges like Binance for retail speculation.","JPM Coin is strictly an inter-bank settlement token and cannot be held by corporate clients.",OptionA
Day 1: JPMC Strategy & Tech,"When evaluating a workload for migration, which data classification would mandate the use of Gaia (Private Cloud) or a 'Lockdown' AWS environment over standard Public Cloud?","Publicly available market data feeds.","Customer behavioral analytics for marketing personalization.","Material Non-Public Information (MNPI) regarding pending M&A deals.","Aggregated operational metrics for dashboarding.",OptionC
Day 1: JPMC Strategy & Tech,"The 'AI-First' agenda introduces 'Agentic AI' for 2025. How does this architecturally differ from the 'LLM Suite' (GenAI) currently available to employees?","The LLM Suite generates text/code based on prompts, whereas Agentic AI can autonomously plan, execute multi-step workflows, and trigger API actions to resolve issues.","The LLM Suite runs on Gaia, whereas Agentic AI must run on the public OpenAI API.","The LLM Suite is for back-office use only, whereas Agentic AI is exclusively for customer chatbots.","There is no architectural difference; 'Agentic' is purely a marketing term for GPT-5.",OptionA
Day 1: JPMC Strategy & Tech,"A Product Owner wants to implement a 'Fail-Fast' mechanism that drops payment instructions if the screening service takes >500ms to save costs. As a Solutions Analyst applying the Fortress mindset, how do you respond?","Approve it; speed is the primary competitive differentiator in payments.","Reject it; the Fortress principle dictates Resilience and Reliability over speed. Implement a retry pattern or async queue instead of dropping instructions.","Approve it but log the dropped payments for manual review next week.","Reject it; we should increase the timeout to 10 seconds regardless of the user experience impact.",OptionB
Day 1: JPMC Strategy & Tech,"What is the primary utility of the 'Tokenized Collateral Network' (TCN) for a J.P. Morgan corporate client?","It allows them to mine crypto assets using idle treasury cash.","It enables the use of tokenized assets (like Money Market Funds) as near-instant collateral for margin calls, optimizing liquidity without T+2 settlement delays.","It provides a platform for trading NFTs of real estate assets.","It allows them to bypass KYC checks by using anonymous tokens.",OptionB
Day 1: JPMC Strategy & Tech,"Why does J.P. Morgan maintain a Hybrid Cloud strategy (Gaia + AWS) rather than going 'All-In' on Public Cloud like some competitors?","Because legacy mainframes cannot connect to AWS Direct Connect.","To mitigate 'Concentration Risk' and ensure regulatory exit strategies while keeping core high-frequency ledgers close to the metal for latency control.","Because AWS is too expensive for batch processing tasks.","Because J.P. Morgan plans to become a public cloud provider itself to compete with Amazon.",OptionB
Day 1: JPMC Strategy & Tech,"What does 'Programmable Payments' on the Kinexys platform allow a Treasurer to do that a standard API payment cannot?","Send payments faster than the speed of light.","Embed 'If-This-Then-That' logic (Smart Contracts) directly into the value transfer, enabling atomic settlement only when conditions (e.g., goods received) are met.","Avoid all transaction fees by using a decentralized network.","Hide the originator information from the beneficiary for privacy.",OptionB
Day 1: JPMC Strategy & Tech,"You are explaining 'Singleness of Money' to a stakeholder. Which scenario violates this principle?","A JPM Coin token being exchanged 1:1 for a USD deposit in a checking account.","A token trading at $0.98 against the USD on a secondary market due to liquidity fears (de-pegging).","A cross-border payment settling instantly between two JPM branches.","Converting JPM Coin to Euros at the current spot FX rate.",OptionB
Day 1: JPMC Strategy & Tech,"Which architectural pattern is essential for minimizing the 'Blast Radius' of a failure in a global payment engine?","Monolithic Architecture: Putting all logic in one service to ensure consistency.","Bulkheads and Circuit Breakers: Isolating components so a failure in the 'FX Service' does not crash the 'Sanctions Service'.","Two-Phase Commit (2PC): Locking all databases until the transaction is complete.","Single Point of Entry: Routing all global traffic through a single API Gateway in New York.",OptionB
Day 1: JPMC Strategy & Tech,"What is the 'Paved Road' concept within JPMC's Global Technology infrastructure?","A dedicated fiber optic line between London and New York for HFT.","Standardized, pre-hardened CI/CD pipelines and infrastructure patterns that allow developers to deploy securely without manual architecture board approval.","The management track for moving from Engineering to Product roles.","The migration path for retiring legacy COBOL applications.",OptionB
Day 1: JPMC Strategy & Tech,"Why is 'Idempotency' a non-negotiable requirement for JPMC Payment APIs?","It encrypts the payload to meet GDPR requirements.","It allows a client to safely retry a payment request (e.g., after a network timeout) without the risk of the bank processing the payment twice (Double Spend).","It ensures the API response time is always under 200ms.","It allows the API to handle different currency formats automatically.",OptionB
Day 1: JPMC Strategy & Tech,"In the context of the 'Strangler Fig' pattern for modernization, how should you approach migrating a legacy CHAPS settlement engine?","Rewrite the entire engine in Java from scratch and flip the switch over a weekend (Big Bang).","Build new microservices for specific functions (e.g., Validation) around the edges, gradually routing traffic to them until the legacy core can be decommissioned.","Wrap the legacy system in an API and leave the internal code unchanged forever.","Migrate the database to the cloud first, then rewrite the application logic later.",OptionB
Day 1: JPMC Strategy & Tech,"What is the primary risk mitigation function of the 'LLM Suite' compared to using public ChatGPT?","It prevents 'Hallucinations' by using a smaller parameter model.","It acts as a secure gateway, preventing proprietary code and sensitive data (MNPI) from being sent to external model providers for training.","It provides a cheaper inference cost than the public API.","It allows the AI to access real-time stock market data which ChatGPT cannot do.",OptionB
Day 1: JPMC Strategy & Tech,"How does 'Atomic Settlement' on Kinexys improve upon the traditional SWIFT messaging model?","It sends messages faster using 5G networks.","It combines the payment instruction and the actual movement of funds into a single, indivisible transaction, eliminating settlement risk (Herstatt Risk).","It allows payments to be reversible for up to 24 hours.","It uses fewer ISO 20022 fields, making the message lighter.",OptionB
Day 1: JPMC Strategy & Tech,"Why is 'Active-Active' deployment preferred over 'Active-Passive' (DR) for JPMC's core payment rails?","Active-Passive is too complex to manage during an outage.","Active-Active ensures both sites are constantly taking traffic, proving the backup works in real-time and doubling the capacity, aligning with the Fortress mindset.","Active-Active is cheaper because you don't need a load balancer.","Active-Passive requires manual intervention to switch over, which is preferred for control.",OptionB
Day 1: JPMC Strategy & Tech,"What is the specific role of 'Cloud Foundry' in the Gaia architecture?","It is the database layer used for storing ledgers.","It is the Platform-as-a-Service (PaaS) abstraction layer that allows developers to deploy code without managing the underlying Kubernetes/Server infrastructure.","It is the external firewall connecting Gaia to AWS.","It is the legacy mainframe operating system.",OptionB
Day 1: JPMC Strategy & Tech,"If a stakeholder suggests storing unencrypted client PII in a public S3 bucket for 'easier analytics access', which JPMC principle do you cite to block it?","The 'Open Banking' initiative.","The 'Fortress Balance Sheet' risk controls and Data Control Standards regarding MNPI/PII leakage.","The 'Cloud First' strategy.","The 'Agile Delivery' manifesto.",OptionB
Day 1: JPMC Strategy & Tech,"What business value does the 'Flywheel Effect' describe in JPMC's annual report?","The momentum gained by acquiring smaller regional banks.","The cycle where Scale enables Tech Investment, which improves Customer Experience, attracting more Scale (Data/Capital), reinforcing the Fortress.","The speed at which the bank processes high-frequency trading algorithms.","The rotation of staff between the Investment Bank and Consumer Bank.",OptionB
"Day 2: ISO 20022 Deep Dive","A bank receives a pacs.008 for a beneficiary whose account is closed. Which message flows back to the sender?","pain.002 (Reject)","pacs.004 (Return)","camt.056 (Cancel)","pacs.002 (Status)","OptionB"
"Day 2: ISO 20022 Deep Dive","You receive a pain.001 file where the <CtrlSum> does not match the sum of <InstdAmt> of the transactions. What happens?","The bank processes valid txns and rejects invalid ones","The entire file is rejected (Group Level Reject)","The bank auto-corrects the sum","The bank places it in a repair queue","OptionB"
"Day 2: ISO 20022 Deep Dive","In a 'Cover Method' scenario, which field in the pacs.009 COV links it to the underlying pacs.008?","<EndToEndId>","<UETR>","<UnderlyingCustomerCreditTransfer>","<InstructionId>","OptionC"
"Day 2: ISO 20022 Deep Dive","A payment is stuck in sanctions screening due to a hit on the <UltmtCdtr>. What is the appropriate interim status code in the pacs.002?","RJCT (Rejected)","ACCP (Accepted Customer Profile)","PDNG (Pending)","ACSP (Accepted Settlement in Process)","OptionC"
"Day 2: ISO 20022 Deep Dive","Which character set is strictly enforced by CBPR+ guidelines for cross-border payments?","UTF-8 (All characters)","Latin Character Set (Basic + delimited specials)","ASCII only","Hexadecimal","OptionB"
"Day 2: ISO 20022 Deep Dive","You need to route a high-value urgent payment via SWIFT. Which code should be in <SvcLvl>?","SEPA","NURG (Non-Urgent)","URGP (Urgent Payment)","SDVA (Same Day Value)","OptionC"
"Day 2: ISO 20022 Deep Dive","A duplicate <MsgId> is received from a corporate client. How should the system respond?","Process it as a new file","Reject it immediately as a technical duplicate","Overwrite the previous file","Merge the transactions","OptionB"
"Day 2: ISO 20022 Deep Dive","If an intermediary bank deducts charges (SHA), which field in the passed-on pacs.008 is reduced?","<InstdAmt>","<IntrBkSttlmAmt>","<ChrgBr>","<EndToEndId>","OptionB"
"Day 2: ISO 20022 Deep Dive","Which of these is a 'Business Validation' failure, not a 'Schema Validation' failure?","Missing mandatory tag <InstdAmt>","Date format is YYYY/MM/DD instead of YYYY-MM-DD","Debtor Account is blocked/frozen","<BldgNb> exceeds 140 characters","OptionC"
"Day 2: ISO 20022 Deep Dive","When generating a pacs.004 Return, what happens to the original <EndToEndId>?","It is replaced by a new ID","It is preserved in the 'Original Transaction Reference' block","It is deleted","It becomes the MsgId","OptionB"
"Day 2: ISO 20022 Deep Dive","What is the precision of timestamps (e.g., <CreDtTm>) supported in ISO 20022?","Seconds only","Milliseconds (e.g., .123)","Minutes","Days only","OptionB"
"Day 2: ISO 20022 Deep Dive","Which status code in a pain.002 indicates the bank has successfully completed validation and passed the payment to clearing?","RCVD (Received)","ACTC (Accepted Technical)","ACSC (Accepted Settlement Completed)","ACSP (Accepted Settlement in Process)","OptionD"
"Day 2: ISO 20022 Deep Dive","If a corporate sends a pain.001 without a UETR, what must the first bank do?","Reject the file","Generate a UETR and map it into the pacs.008","Send it without a UETR","Ask the client to resend","OptionB"
"Day 2: ISO 20022 Deep Dive","For a SEPA Instant payment, which specific <LclInstrm> code is required?","SEPA","INST","TRF","SCT","OptionB"
"Day 2: ISO 20022 Deep Dive","Can a single pain.001 file contain payments in multiple currencies (e.g., GBP and USD)?","No, never","Yes, if the bank supports 'Mixed' batch booking","Only if they share the same Value Date","Only if they are to the same beneficiary","OptionB"
"Day 2: ISO 20022 Deep Dive","What is the purpose of the <DbtrAgt> tag?","Identifies the Debtor's Bank (Sending Bank)","Identifies the Creditor's Bank","Identifies the Software Vendor","Identifies the Central Bank","OptionA"
"Day 2: ISO 20022 Deep Dive","In a pacs.008, is the <RmtInf> (Remittance Info) mandatory?","Yes, always","No, it is optional","Yes, but only for corporate payments","No, it is forbidden","OptionB"
"Day 2: ISO 20022 Deep Dive","Which message is used to ACKNOWLEDGE receipt of a file but does not confirm validity?","admi.007","pacs.002","pain.002","camt.054","OptionA"
"Day 2: ISO 20022 Deep Dive","If a payment requires FX conversion at the sending bank, how is the exchange rate reported?","It is hidden","It is reported in the <XchgRateInf> block of the pacs.008","It is sent in a separate email","It is only shown in the statement","OptionB"
"Day 2: ISO 20022 Deep Dive","What is the maximum number of occurrences for <Unstrd> remittance info in a single transaction?","1","140","Unlimited (technically), but usually limited by schemes (e.g. 1)","3","OptionC"
Day2_Payments_Fundamentals_ISO20022,"A CHAPS payment fails with reason 'NARR'. What is the most likely cause?",Insufficient Funds,"Narrative/Remittance field exceeds character limit, or contains invalid characters",Account Closed,Bank Holiday,"Narrative/Remittance field exceeds character limit, or contains invalid characters"
Day2_Payments_Fundamentals_ISO20022,"You need to route a high-value USD payment (~$50M) from London to New York. Which scheme is appropriate?",Faster Payments,BACS,CHIPS or FedWire,SEPA,CHIPS or FedWire
Day2_Payments_Fundamentals_ISO20022,"A customer claims a payment was sent, but the beneficiary hasn't received it. You check the status and see 'ACSP' but no 'ACSC'. What does this mean?",Payment rejected,Payment accepted by bank but not yet settled/completed,Payment settled successfully,Payment returned,Payment accepted by bank but not yet settled/completed
Day2_Payments_Fundamentals_ISO20022,"Which message is used to request a cancellation of a duplicate payment that has already been settled?","camt.056 (FIToFIPaymentCancellationRequest)",pain.001,pacs.008,pacs.004 (PaymentReturn),"camt.056 (FIToFIPaymentCancellationRequest)"
Day2_Payments_Fundamentals_ISO20022,"In the UETR format (UUID), which version is standard for SWIFT gpi?",Version 1,Version 4 (Random),Version 3 (MD5),Version 5 (SHA),Version 4 (Random)
Day2_Payments_Fundamentals_ISO20022,"A corporate client sends a pain.001 with 'OUR' charge bearer. What happens to the charges?",The Beneficiary pays all charges,"The Sender pays all transaction fees; beneficiary receives full amount",Fees are shared 50/50,The Intermediary bank absorbs the fees,"The Sender pays all transaction fees; beneficiary receives full amount"
Day2_Payments_Fundamentals_ISO20022,"Which field is mandatory for a 'On Behalf Of' (POBO) payment structure?",Initiating Party (<InitgPty>),Ultimate Debtor (<UltmtDbtr>),Creditor Agent (<CdtrAgt>),Remittance Info (<RmtInf>),Ultimate Debtor (<UltmtDbtr>)
Day2_Payments_Fundamentals_ISO20022,"If a SWIFT gpi payment is stopped using the 'Stop and Recall' service, what happens to the funds?",They are frozen indefinitely,"They are returned to the sender immediately (if not already credited)",They are sent to the central bank,They are converted to USD,"They are returned to the sender immediately (if not already credited)"
Day2_Payments_Fundamentals_ISO20022,"For a SEPA Instant payment, what is the hard time-out limit for the Beneficiary Bank to respond?",5 seconds,"10 seconds (standard) / 20 seconds (hard limit)",1 minute,1 hour,"10 seconds (standard) / 20 seconds (hard limit)"
Day2_Payments_Fundamentals_ISO20022,"A pacs.004 message is received. What does this represent?",A new payment instruction,"A return of funds (e.g. beneficiary account closed)",A status update,A statement,"A return of funds (e.g. beneficiary account closed)"
Day2_Payments_Fundamentals_ISO20022,"Which regulatory body manages the CHAPS scheme rules?","EPC (European Payments Council)",Pay.UK,Federal Reserve,SWIFT,Pay.UK
Day2_Payments_Fundamentals_ISO20022,"What is the consequence of sending an ISO 20022 message with a 'BOM' (Byte Order Mark) in the XML prologue?",Valid but ignored,Often causes parsing failures in strict legacy gateways,Enhances security,Mandatory for UTF-8,Often causes parsing failures in strict legacy gateways
Day2_Payments_Fundamentals_ISO20022,"When mapping MT103 Field 50K (Ordering Customer) to ISO, if the address is unstructured, where does it go?",<PstlAdr><StrtNm>,<PstlAdr><AdrLine>,<PstlAdr><TwnNm>,It is discarded,<PstlAdr><AdrLine>
Day2_Payments_Fundamentals_ISO20022,"What is the 'Service Level' code 'SEPA' used for?",To route via SWIFT,To indicate the payment must follow SEPA rulebook logic,To indicate high priority,To indicate USD currency,To indicate the payment must follow SEPA rulebook logic
Day2_Payments_Fundamentals_ISO20022,"In a 'Cover' method scenario, which message travels directly to the Beneficiary Bank?",pacs.009,pacs.008 (or MT103),pain.001,camt.054,pacs.008 (or MT103)
Day2_Payments_Fundamentals_ISO20022,"What is the 'Local Instrument' code used for?",Identifying the currency,"Identifying the specific domestic scheme product (e.g., 'UK.FPS' or 'UK.CHAPS')",Identifying the sender,Identifying the date,"Identifying the specific domestic scheme product (e.g., 'UK.FPS' or 'UK.CHAPS')"
